Country,Player,Points
PAK,Babar Azam,722
PAK,Salman Agha,631
PAK,Mohammad Mohammad Rizwan,598
PAK,Fakhar Zaman,589
PAK,Saim Ayub,551
PAK,Imam-ul-Haq,516
