Country,Player,Points
ENG,Joe Root,598
ENG,Harry Brook,585
ENG,Jos Buttler,551
ENG,Ben Duckett,548
ENG,Liam Livingstone,449
ENG,Jacob Bethell,438
ENG,Philip Salt,432
