Country,Player,Points
BAN,Towhid Hridoy,564
BAN,Najmul Hossain Shanto,546
BAN,Soumya Sarkar,472
BAN,Mehidy Hasan,471
BAN,Jaker Ali,436
BAN,Liton Das,420
BAN,Tanzid Hasan,410
