Country,Player,Points
AFG,Ibrahim Zadran,764
AFG,Rahmanullah Gurbaz,626
AFG,Azmatullah Omarzai,598
AFG,Rahmat Shah,557
AFG,Mohammad Mohammad Nabi,517
AFG,Hashmatullah Shahidi,498
AFG,Sediqullah Atal,430
