Country,Player,Points
NZ,Daryl Mitchell,845
NZ,Rachin Ravindra,626
NZ,Glenn Phillips,610
NZ,Devon Conway,562
NZ,Will Young,538
NZ,Kane Williamson,530
NZ,Tom Latham,513
NZ,Michael Bracewell,479
NZ,Mark Chapman,445
